country;Squad;ø-Age;WC_particip.;Abroad;Market Value;Team-Logo;Flag;game1_opponent;game1_result;game1_score;game1_date;game2_opponent;game2_result;game2_score;game2_date;game3_opponent;game3_result;game3_score;game3_date;game4_opponent;game4_result;game4_score;game4_penalties;game4_date;game5_opponent;game5_result;game5_score;game5_penalties;game5_date;game6_opponent;game6_result;game6_score;game6_penalties;game6_date;game7_opponent;game7_result;game7_score;game7_penalties;game7_date
France;23;26,6;15;65,2 %;1220 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/FRA;https://talksport.com/wp-content/uploads/sites/5/2018/06/france.png?strip=all&quality=100&w=960;Australia;3;2-1;16.06.2018;Peru;3;1-0;21.06.2018;Denmark;2;0-0;26.06.2018;Argentina;3;4-3;;30.06.2018;Uruguay;3;4-3;;06.07.2018;Belgium;3;1-0;;10.07.2018;Croatia;3;4-2;;15.07.2018
Croatia;25;26,6;5;84,0 %;396,20 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/CRO;https://talksport.com/wp-content/uploads/sites/5/2018/06/croatia.png?strip=all&quality=100&w=960;Nigeria;3;2-0;16.06.2018;Argentina;3;3-0;21.06.2018;Iceland;3;2-1;26.06.2018;Denmark;3;1-1;3-2;01.07.2018;Russia;3;2-2;4-3;07.07.2018;England;3;2-1;;11.07.2018;France;1;2-4;;15.07.2018
England;23;25,1;15;4,3 %;1060 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/ENG;https://talksport.com/wp-content/uploads/sites/5/2018/06/england_0.png?strip=all&quality=100&w=960;Tunisia;3;2-1;18.06.2018;Panama;3;6-1;24.06.2018;Belgium;1;0-1;28.06.2018;Columbia;3;1-1;4-3;03.07.2018;Sweden;3;2-0;;07.07.2018;Croatia;1;1-2;;11.07.2018;Belgium;1;0-2;;14.07.2018
Germany;23;25,3;19;26,1 %;1020 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/GER;https://talksport.com/wp-content/uploads/sites/5/2018/06/germany.png?strip=all&quality=100&w=960;;;2-4;;;;1-3;;;;0-3;;;;4-6;;;;;4-6;;;;;1-3;;;;;4-5;;
Brazil;23;26,4;21;87,0 %;1010 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/BRA;https://talksport.com/wp-content/uploads/sites/5/2018/06/brazil_0.png?strip=all&quality=100&w=960;;;2-5;;;;1-4;;;;0-4;;;;4-7;;;;;4-7;;;;;1-4;;;;;4-6;;
Spain;23;27,1;15;13,0 %;881,00 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/ESP;https://talksport.com/wp-content/uploads/sites/5/2018/06/spain.png?strip=all&quality=100&w=960;;;2-6;;;;1-5;;;;0-5;;;;4-8;;;;;4-8;;;;;1-5;;;;;4-7;;
Portugal;24;27,5;7;70,8 %;657,25 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/POR;https://talksport.com/wp-content/uploads/sites/5/2018/06/portugal.png?strip=all&quality=100&w=960;;;2-7;;;;1-6;;;;0-6;;;;4-9;;;;;4-9;;;;;1-6;;;;;4-8;;
Argentina;29;26,4;17;65,5 %;629,00 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/ARG;https://talksport.com/wp-content/uploads/sites/5/2018/06/argentina_0.png?strip=all&quality=100&w=960;;;2-8;;;;1-7;;;;0-7;;;;4-10;;;;;4-10;;;;;1-7;;;;;4-9;;
Belgium;23;27,0;13;87,0 %;603,50 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/BEL;https://talksport.com/wp-content/uploads/sites/5/2018/06/belgium.png?strip=all&quality=100&w=960;;;2-9;;;;1-8;;;;0-8;;;;4-11;;;;;4-11;;;;;1-8;;;;;4-10;;
Serbia;29;26,1;2;79,3 %;390,15 Mill. €;https://api.fifa.com/api/v1/picture/associations-sq-2/SRB;https://talksport.com/wp-content/uploads/sites/5/2018/06/serbia.png?strip=all&quality=100&w=960;;;2-10;;;;1-9;;;;0-9;;;;4-12;;;;;4-12;;;;;1-9;;;;;4-11;;
