"Date","Stage","Team","Opponent","Result","Home_goals","Away_goals","Shots","Shots_on_target","Possession","Fouls","Yellow_cards","Red_cards","Offsides","Corners","Extra_time","Extra_goals","Penalties","Penalties_made"
"6/14/2018","Group-1","Russia","Saudi Arabia","3","5","0","14","7","38","22","1","0","3","6","false","","false",""
"6/14/2018","Group-1","Saudi Arabia","Russia","1","0","5","6","0","62","10","1","0","1","2","false","","false",""
"6/15/2018","Group-1","Egypt","Uruguay","1","0","1","8","3","41","12","2","0","1","0","false","","false",""
"6/15/2018","Group-1","Morocco","Iran","1","0","1","13","3","68","22","1","0","0","5","false","","false",""
"6/15/2018","Group-1","Portugal","Spain","2","3","3","9","3","33","12","1","0","1","4","false","","false",""
"6/15/2018","Group-1","Uruguay","Egypt","3","1","0","15","5","59","6","0","0","1","5","false","","false",""
"6/15/2018","Group-1","Iran","Morocco","3","1","0","9","2","32","14","3","0","0","2","false","","false",""
"6/15/2018","Group-1","Spain","Portugal","2","3","3","13","6","67","10","1","0","3","5","false","","false",""
"6/16/2018","Group-1","France","Australia","3","2","1","12","5","55","16","1","0","0","5","false","","false",""
"6/16/2018","Group-1","Argentina","Iceland","2","1","1","27","7","78","10","0","0","0","10","false","","false",""
"6/16/2018","Group-1","Peru","Denmark","1","0","1","17","6","54","10","1","0","5","3","false","","false",""
"6/16/2018","Group-1","Croatia","Nigeria","3","2","0","11","2","55","20","2","0","2","6","false","","false",""
"6/16/2018","Group-1","Australia","France","1","1","2","6","1","45","19","3","0","0","1","false","","false",""
"6/16/2018","Group-1","Iceland","Argentina","2","1","1","8","2","22","15","0","0","0","2","false","","false",""
"6/16/2018","Group-1","Denmark","Peru","3","1","0","10","3","46","18","2","0","3","7","false","","false",""
"6/16/2018","Group-1","Nigeria","Croatia","1","0","2","14","2","45","16","1","0","1","5","false","","false",""
"6/17/2018","Group-1","Costa Rica","Serbia","1","0","1","10","3","53","18","2","0","1","5","false","","false",""
"6/17/2018","Group-1","Germany","Mexico","1","0","1","26","9","67","10","2","0","1","8","false","","false",""
"6/17/2018","Group-1","Brazil","Switzerland","2","1","1","21","5","55","11","1","0","1","7","false","","false",""
"6/17/2018","Group-1","Serbia","Costa Rica","3","1","0","10","3","47","15","2","0","3","4","false","","false",""
"6/17/2018","Group-1","Mexico","Germany","3","1","0","13","4","33","16","2","0","1","1","false","","false",""
"6/17/2018","Group-1","Switzerland","Brazil","2","1","1","6","2","45","19","3","0","0","2","false","","false",""
"6/18/2018","Group-1","Sweden","South Korea","3","1","0","15","4","56","20","1","0","1","6","false","","false",""
"6/18/2018","Group-1","Belgium","Panama","3","3","0","15","6","62","17","3","0","1","9","false","","false",""
"6/18/2018","Group-1","Tunisia","England","1","1","2","6","1","39","14","0","0","2","2","false","","false",""
"6/18/2018","Group-1","South Korea","Sweden","1","0","1","5","0","44","23","2","0","0","5","false","","false",""
"6/18/2018","Group-1","Panama","Belgium","1","0","3","7","2","38","18","5","0","2","3","false","","false",""
"6/18/2018","Group-1","England","Tunisia","3","2","1","18","8","61","8","1","0","3","7","false","","false",""
"6/19/2018","Group-1","Colombia","Japan","1","1","2","8","3","38","15","2","1","2","3","false","","false",""
