"Player","FullName","Appearances","Minutes","Goals","Assists","YellowCard","RedCard","ShotsPerGame","PassSuccessPercentage","ManOfTheMatch","Rating","Team","Group","Squad Number","Position","Captain","Date Of Birth","Age","Caps","GoalsBeforeTournament","Club","Photo","Flag","Club Logo","Value"
"Shikabala","Shikabala","0","0","0","0","0","0","0","0","0","0","Egypt","A","18","FW","-","1986/03/05","32","29","2","N/A","https://cdn.sofifa.org/players/10/19/170828.png","https://cdn.sofifa.org/flags/111.png","https://cdn.sofifa.org/flags/111.png","€0"
"Koke","Koke","3","229","0","0","0","0","0","93.5","0","6.79","Spain","B","8","MF","-","1992/01/08","26","39","0","Atlético Madrid","https://cdn.sofifa.org/players/10/19/193747.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/240.png","€45M"
"Saúl","Saúl","0","0","0","0","0","0","0","0","0","0","Spain","B","7","MF","-","1994/11/21","23","10","0","Atlético Madrid","https://cdn.sofifa.org/players/10/19/208421.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/240.png","€50.5M"
"Fred","Fred","0","0","0","0","0","0","0","0","0","0","Brazil","E","18","MF","-","1993/03/05","25","8","0","Manchester United","https://cdn.sofifa.org/players/10/19/209297.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/11.png","€26.5M"
"Beto","Beto","0","0","0","0","0","0","0","0","0","0","Portugal","B","22","GK","-","1982/05/01","36","14","0","Göztepe SK","https://cdn.sofifa.org/players/10/19/182629.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/101026.png","€1M"
"Cédric","Cédric","0","0","0","0","0","0","0","0","0","0","Portugal","B","21","DF","-","1991/08/31","26","28","1","Southampton","https://cdn.sofifa.org/players/10/19/201118.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/17.png","€8.5M"
"Manuel da Costa","Manuel da Costa","3","188","0","0","1","0","0","72.9","0","6.32","Morocco","B","4","DF","-","1986/05/06","32","27","1","Medipol Başakşehir FK","https://cdn.sofifa.org/players/10/19/177533.png","https://cdn.sofifa.org/flags/129.png","https://cdn.sofifa.org/teams/10/light/101014.png","€1.4M"
"Cristian Rodríguez","Cristian Rodríguez","5","165","0","0","1","0","0","67.9","0","6.26","Uruguay","A","7","MF","-","1985/09/30","32","104","11","Atlético Madrid","https://cdn.sofifa.org/players/10/19/245986.png","https://cdn.sofifa.org/flags/45.png","https://cdn.sofifa.org/teams/10/light/240.png","€325K"
"Bruno Alves","Bruno Alves","0","0","0","0","0","0","0","0","0","0","Portugal","B","2","DF","-","1981/11/27","36","95","11","Parma","https://cdn.sofifa.org/players/10/19/138110.png","https://cdn.sofifa.org/flags/38.png","https://cdn.sofifa.org/teams/10/light/50.png","€325K"
"Thiago Cionek","Thiago Cionek","1","90","0","0","0","0","0","92.5","0","6.6","Poland","H","4","DF","-","1986/04/21","32","17","0","SPAL","https://cdn.sofifa.org/players/10/19/189118.png","https://cdn.sofifa.org/flags/37.png","https://cdn.sofifa.org/teams/10/light/112791.png","€1.8M"
