"country","value","category"
"Argentina","4","matches_played"
"Argentina","6","goals_scored"
"Argentina","9","goals_against"
"Argentina","53","shots"
"Argentina","18","shots_on_target"
"Argentina","0","penalties"
"Argentina","6","offsides"
"Argentina","24","corners"
"Argentina","55","fouls_committed"
"Argentina","75","fouls_suffered"
"Argentina","11","yellow_cards"
"Argentina","0","red_cards"
"Australia","3","matches_played"
"Australia","2","goals_scored"
"Australia","5","goals_against"
"Australia","32","shots"
"Australia","8","shots_on_target"
"Australia","2","penalties"
"Australia","3","offsides"
"Australia","14","corners"
"Australia","37","fouls_committed"
"Australia","30","fouls_suffered"
"Australia","7","yellow_cards"
"Australia","0","red_cards"
"Belgium","7","matches_played"
"Belgium","16","goals_scored"
"Belgium","6","goals_against"
"Belgium","106","shots"
"Belgium","40","shots_on_target"
"Belgium","1","penalties"
"Belgium","8","offsides"
"Belgium","39","corners"
"Belgium","99","fouls_committed"
"Belgium","75","fouls_suffered"
"Belgium","11","yellow_cards"
"Belgium","0","red_cards"
"Brazil","5","matches_played"
"Brazil","8","goals_scored"
"Brazil","3","goals_against"
"Brazil","103","shots"
"Brazil","38","shots_on_target"
"Brazil","0","penalties"
"Brazil","9","offsides"
"Brazil","42","corners"
"Brazil","50","fouls_committed"
"Brazil","73","fouls_suffered"
"Brazil","7","yellow_cards"
"Brazil","0","red_cards"
"Colombia","4","matches_played"
"Colombia","6","goals_scored"
"Colombia","3","goals_against"
"Colombia","39","shots"
"Colombia","12","shots_on_target"
"Colombia","0","penalties"
"Colombia","7","offsides"
"Colombia","13","corners"
"Colombia","63","fouls_committed"
"Colombia","52","fouls_suffered"
"Colombia","9","yellow_cards"
"Colombia","1","red_cards"
"Costa Rica","3","matches_played"
"Costa Rica","2","goals_scored"
"Costa Rica","5","goals_against"
"Costa Rica","28","shots"
"Costa Rica","9","shots_on_target"
"Costa Rica","0","penalties"
"Costa Rica","5","offsides"
"Costa Rica","11","corners"
"Costa Rica","43","fouls_committed"
"Costa Rica","35","fouls_suffered"
"Costa Rica","6","yellow_cards"
"Costa Rica","0","red_cards"
"Croatia","7","matches_played"
"Croatia","14","goals_scored"
"Croatia","9","goals_against"
"Croatia","115","shots"
"Croatia","29","shots_on_target"
"Croatia","1","penalties"
"Croatia","9","offsides"
"Croatia","40","corners"
"Croatia","114","fouls_committed"
"Croatia","105","fouls_suffered"
"Croatia","15","yellow_cards"
"Croatia","0","red_cards"
"Denmark","4","matches_played"
"Denmark","3","goals_scored"
"Denmark","2","goals_against"
"Denmark","40","shots"
"Denmark","12","shots_on_target"
"Denmark","0","penalties"
"Denmark","5","offsides"
"Denmark","18","corners"
"Denmark","54","fouls_committed"
"Denmark","28","fouls_suffered"
"Denmark","6","yellow_cards"
"Denmark","0","red_cards"
"Egypt","3","matches_played"
"Egypt","2","goals_scored"
"Egypt","6","goals_against"
"Egypt","29","shots"
"Egypt","5","shots_on_target"
"Egypt","1","penalties"
"Egypt","4","offsides"
"Egypt","6","corners"
"Egypt","38","fouls_committed"
"Egypt","21","fouls_suffered"
"Egypt","5","yellow_cards"
"Egypt","0","red_cards"
"England","7","matches_played"
"England","12","goals_scored"
"England","8","goals_against"
"England","96","shots"
"England","25","shots_on_target"
"England","3","penalties"
"England","15","offsides"
"England","39","corners"
"England","72","fouls_committed"
"England","100","fouls_suffered"
"England","8","yellow_cards"
"England","0","red_cards"
"France","7","matches_played"
"France","14","goals_scored"
"France","6","goals_against"
"France","83","shots"
"France","30","shots_on_target"
"France","3","penalties"
"France","3","offsides"
"France","21","corners"
"France","93","fouls_committed"
"France","103","fouls_suffered"
"France","12","yellow_cards"
"France","0","red_cards"
"Germany","3","matches_played"
"Germany","2","goals_scored"
"Germany","4","goals_against"
"Germany","67","shots"
"Germany","20","shots_on_target"
"Germany","0","penalties"
"Germany","7","offsides"
"Germany","25","corners"
"Germany","29","fouls_committed"
"Germany","39","fouls_suffered"
"Germany","2","yellow_cards"
"Germany","1","red_cards"
"Iceland","3","matches_played"
"Iceland","2","goals_scored"
